275,5579dc9d0db630d7038653f2, 19 E Bellevue Pl, Chicago, IL 60611,41.90153,-87.62723
276,5579dc9d0db630d7038653f3, 2523 N Clark St, Chicago, IL 60614,41.92851,-87.64212
277,5579dc9d0db630d7038653f4, 132 W Madison St, Chicago, IL 60602,41.88202,-87.63184
278,5579dc9d0db630d7038653f5, 8600 W Catalpa Ave, Chicago, IL 60656,41.97924,-87.84233
279,5579dc9d0db630d7038653f6, 1601 N Damen Ave, Chicago, IL 60647,41.91081,-87.6774
280,5579dc9d0db630d7038653f7, 801 N Orleans St, Chicago, IL 60610,41.89685,-87.63712
281,5579dc9d0db630d7038653f8, 4511 N Kennicott Ave, Chicago, IL 60630,41.96314,-87.73418
283,5579dc9d0db630d7038653fa, 3102 N Halsted St, Chicago, IL 60657,41.93851,-87.64927
282,5579dc9d0db630d7038653f9, 317 E Chicago Ave, Chicago, IL 60611,41.89675,-87.6196
284,5579dc9d0db630d7038653fb, 7157 N Ridge Ave, Chicago, IL 60645,42.01182,-87.68285
